1GL, First-Generation Programming Language
SDN, Open Source Development Network
OSI, Open Source Initiative
OSI, Open Systems Interconnection
OSPF, Open Shortest Path First
OSS, Open Sound System
OSS, Open-Source Software
OSS, Operations Support System
OSTG, Open Source Technology Group
OUI, Organisationally Unique Identifier
P2P, Peer-To-Peer
PaaS, Platform as a Service
PAN, Personal Area Network
PAP, Password Authentication Protocol
PARC, Palo Alto Research Center
PATA, Parallel ATA
PBS, Portable Batch System
PC, Personal Computer
PCB, Printed Circuit Board
PCB, Process Control Block
PC DOS, Personal Computer Disc Operating System
PCI, Peripheral Component Interconnect
PCIe, PCI Express
PCL, Printer Command Language
PCMCIA, Personal Computer Memory Card International Association
PCM, Pulse-Code Modulation
PCRE, Perl Compatible Regular Expressions
PD, Public Domain
PDA, Personal Digital Assistant
PDF, Portable Document Format
PDH, Plesiochronous Digital Hierarchy
PDP, Programmed Data Processor
PE, Physical Extents
PERL, Practical Extraction and Reporting Language
PFA, Please Find Attachment
PG, Peripheral Gateway
PGA, Pin Grid Array
PGA, Programmable Gate Array
PGO, Profile-Guided Optimization
PGP, Pretty Good Privacy
HP, Hypertext Preprocessor
PIC, Peripheral Interface Controller
PIC, Programmable Interrupt Controller
PID, Proportional-Integral-Derivative
PID, Process ID
PIM, Personal Information Manager
PINE, Program for Internet News and Email
PIM, Platform Independent Model
PIO, Programmed Input/Output
KCS, Public Key Cryptography Standards
PKI, Public Key Infrastructure
PLC, Power Line Communication
PLC, Programmable Logic Controller
PLD, Programmable Logic Device
L/I, Programming Language One
L/M, Programming Language for Microcomputers
L/P, Programming Language for Prime
PLT, Power Line Telecommunications
PMM, POST Memory Manager
PNG, Portable Network Graphics
PnP, Plug-and-Play
PNRP, Peer Name Resolution Protocol
PoE, Power over Ethernet
POID, Persistent Object Identifier
POJO, Plain Old Java Object
POP, Point of Presence
POP3, Post Office Protocol v3
OSIX, Portable Operating System Interface, formerly IEEE-IX
POST, Power-On Self Test
PPC, PowerPC
PPI, Pixels Per Inch
PPP, Point-to-Point Protocol
PPPoA, PPP over ATM
PPPoE, PPP over Ethernet
PPTP, Point-to-Point Tunneling Protocol
PR, Pull Request
PS, PostScript
PS/2, Personal System/2
PSA, Professional Services Automation
PSM, Platform Specific Model
PSU, Power Supply Unit
SVI, Post-Schema-Validation Infoset
TS-DOS, PhysTechSoft - Disk Operating System
PV, Physical Volume
PVG, Physical Volume Group
PVR, Personal Video Recorder
PXE, Preboot Execution Environment
PXI, PCI eXtensions for Instrumentation
QDR, Quad Data Rate
QA, Quality Assurance
QFP, Quad Flat Package
QoS, Quality of Service
OTD, Quote of the Day
Qt, Quasar Toolkit
QTAM, Queued Teleprocessing Access Method
QSOP, Quarter Small Outline Package
qWave, Quality Windows Audio/Video Experience
ACF, Resource Access Control Facility
RAD, Rapid Application Development
ADIUS, Remote Authentication Dial In User Service
AID, Redundant Array of Independent Disks
RAII, Resource Acquisition Is Initialization
RAIT, Redundant Array of Inexpensive Tapes
RAM, Random Access Memory
RARP, Reverse Address Resolution Protocol
RAS, Reliability, Availability and Serviceability
RAS, Remote access service
RC, Region Code
RC, Release Candidate
RC, Run Commands
RCS, Revision Control System
RD, Remote Desktop
rd, remove directory
RDBMS, Relational Database Management System
RDC, Remote Desktop Connection
RDF, Resource Description Framework
RDM, Relational Data Model
RDOS, Real-time Disk Operating System
RDP,  Remote Desktop Protocol
RDS, Remote Data Services
REFAL, Recursive Functions Algorithmic Language
REST, Representational State Transfer
regex, Regular Expression
regexp, Regular Expression
RF, Radio Frequency
RFC, Request For Comments
RFI, Radio Frequency Interference
RFID, Radio Frequency Identification
RGB, Red, Green, Blue
RHL, Red Hat Linux
RHEL, Red Hat Enterprise Linux
RIA, Rich Internet Application
RIAA, Recording Industry Association of America
RIP, Raster Image Processor
RIP, Routing Information Protocol
RIR, Regional Internet registry
RISC, Reduced Instruction Set Computer
ISC OS, Reduced Instruction Set Computer Operating System
RJE, Remote Job Entry
RLE, Run-Length Encoding
RLL, Run-Length Limited
rmdir, remove directory
RMI, Remote Method Invocation
RMS, Richard Matthew Stallman
ROM, Read Only Memory
ROMB, Read-Out Motherboard
OM-DOS, Read Only Memory - Disk Operating System
RPC, Remote Procedure Call
RPG, Report Program Generator
RPM, RPM Package Manager
RRAS, Routing and Remote Access Service
RSA, Rivest Shamir Adleman
RSI, Repetitive Strain Injury
RSS, Radio Service Software
SS, Rich Site Summary, RDF Site Summary, or Really Simple Syndication
TAI, Real-Time Application Interface
RTC, Real-Time Clock
RTE, Real-Time Enterprise
TEMS, Real-Time Executive for Multiprocessor Systems
RTL, Right-to-Left
RTOS, Real-Time Operating System
RTP, Real-time Transport Protocol
RTS, Ready To Send
RTSP, Real Time Streaming Protocol
RTTI, Run-time Type Information
RWD, Responsive Web Design
SaaS, Software as a Service
SAM,  Security Account Manager
SAN, Storage Area Network
SAS, Serial attached SCSI
SATA, Serial ATA
SAX, Simple API for XML
SBOD, Spinning Beachball of Death
SBP-2, Serial Bus Protocol 2
bin, superuser binary
sbs, Small Business Server
SBU, Standard Build Unit
CADA, Supervisory Control And Data Acquisition
SCID, Source Code in Database
SCM, Software Configuration Management
SCM, Source Code Management
SCP, Secure Copy
SCPC, Single Channel Per Carrier
SCPI, Standard Commands for Programmable Instrumentation
SCSA, Secure Content Storage Association
CSI, Small Computer System Interface
SCTP, Stream Control Transmission Protocol
SD, Secure Digital
DDL, Security Descriptor Definition Language
SDH, Synchronous Digital Hierarchy
SDI, Single Document Interface
SEC, Single Edge Contact
SDIO, Secure Digital Input Output
SDK, Software Development Kit
SDL, Simple DirectMedia Layer
SDN, Service Delivery Network
SDP, Session Description Protocol
SDR, Software-Defined Radio
SDRAM, Synchronous Dynamic Random Access Memory
SDSL, Symmetric DSL
SE, Single Ended
SEI, Software Engineering Institute
SEO, Search Engine Optimization
SFTP, Secure FTP
SFTP, Simple File Transfer Protocol
SFTP, SSH File Transfer Protocol
SGI, Silicon Graphics, Incorporated
SGML, Standard Generalized Markup Language
SGR, Select Graphic Rendition
SHA, Secure Hash Algorithm
SHDSL, Single-pair High-speed Digital Subscriber Line
IGCAT, Special Interest Group on CD-ROM Applications and Technology
IGGRAPH, Special Interest Group on Graphics
IMD, Single Instruction, Multiple Data
IMM, Single Inline Memory Module
SIP, Session Initiation Protocol
SIP, Supplementary Ideographic Plane
ISD, Single Instruction, Single Data
SISO, Single-Input and Single-Output
SLED, SUSE Linux Enterprise Desktop
SLES, SUSE Linux Enterprise Server
SLI, Scalable Link Interface
SLIP, Serial Line Internet Protocol
SLM, Service Level Management
SLOC, Source Lines of Code
SME, Subject Matter Expert
SMF, Single-Mode (optical) Fiber
SPM, Software project management
PMD, Single Program, Multiple Data
SMA, SubMiniature version A
SMB, Server Message Block
SMBIOS, System Management BIOS
SMIL, Synchronized Multimedia Integration Language
/MIME, Secure/Multipurpose Internet Mail Extensions
SMP, Supplementary Multilingual Plane
SMP, Symmetric Multi-Processing
SMPS, Switch Mode Power Supply
MS, Short Message Service
SMS, System Management Server
SMT, Simultaneous Multithreading
SMTP, Simple Mail Transfer Protocol
SNA, Systems Network Architecture
SNMP, Simple Network Management Protocol
NTP, Simple Network Time Protocol
SOA, Service-Oriented Architecture
OAP, Simple Object Access Protocol
SOAP, Symbolic Optimal Assembly Program
SOPA, Stop Online Piracy Act
SoC, System-on-a-Chip
O-DIMM, Small Outline DIMM
SOE, Standard Operating Environment
SOHO, Small Office/Home Office
SOI, Silicon On Insulator
SP, Service Pack
SPA, Single Page Application
SPF, Sender Policy Framework
SPI, Serial Peripheral Interface
SPI, Stateful Packet Inspection
PARC, Scalable Processor Architecture
QL, Structured Query Language
SRAM, Static Random Access Memory
SSA, Static Single Assignment
SSD, Software Specification Document
SSD, Solid-State Drive
SSDP, Simple Service Discovery Protocol
SSE, Streaming SIMD Extensions
SSH, Secure Shell
SSI, Server Side Includes
SSI, Single-System Image
SSI, Small-Scale Integration
SSID, Service Set Identifier
SSL, Secure Socket Layer
SSO, Single Sign On
SSP, Supplementary Special-purpose Plane
SSSE, Supplementary Streaming SIMD Extensions
SSSP, Single Source Shortest Path
SSTP, Secure Socket Tunneling Protocol
su, superuser
SUS, Single UNIX Specification
SUSE, Software und System-Entwicklung
SVC, Scalable Video Coding
SVG, Scalable Vector Graphics
SVGA, Super Video Graphics Array
SVD, Structured VLSI Design
SWF, Shock Wave Flash
SWT, Standard Widget Toolkit
ysop, System operator
TAO, Track-At-Once
TAPI, Telephony Application Programming Interface
TASM, Turbo ASseMbler
TB, TeraByte
cl, Tool Command Language
TCP, Transmission Control Protocol
TCP/IP, Transmission Control Protocol/Internet Protocol
TCU, Telecommunication Control Unit
TDMA, Time-Division Multiple Access
TFT, Thin-Film Transistor
tif,  image(Tagged Image File Format)
FTP, Trivial File Transfer Protocol
TI, Texas Instruments
TLA, Three-Letter Acronym
TLD, Top-Level Domain
TLS, Thread-Local Storage
TLS, Transport Layer Security
TLV, Type-length-value
tmp, temporary
TNC, Terminal Node Controller
TNC, Threaded Neill-Concelman connector
TPF, Transaction Processing Facility
TPM, Trusted Platform Module
TROFF, Trace Off
TRON, Trace On
TRON, The Real-time Operating system Nucleus
RSDOS, Tandy Radio Shack - Disk Operating System
TSO, Time Sharing Option
TSP, Traveling Salesman Problem
TSR, Terminate and Stay Resident
TTA, True Tap Audio
TTF, TrueType Font
TTL, Transistor-Transistor Logic
TTL, Time To Live
TTS, Text-to-Speech
TTY, Teletype
TUCOWS, The Ultimate Collection of Winsock Software
TUG, TeX Users Group
WAIN, Technology Without An Interesting Name
AAG, User Agent Accessibility Guidelines
UAC, User Account Control
UART, Universal Asynchronous Receiver/Transmitter
UAT, User Acceptance Testing
UCS, Universal Character Set
UDDI, Universal Description, Discovery, and Integration
DMA, Ultra DMA
UDP, User Datagram Protocol
EFI, Unified Extensible Firmware Interface
UHF, Ultra High Frequency
UI, User Interface
UL, Upload
ULA, Uncommitted Logic Array
UMA, Upper Memory Area
UMB, Upper Memory Block
UML, Unified Modeling Language
UML, User-Mode Linux
UMPC, Ultra-Mobile Personal Computer
UMTS, Universal Mobile Telecommunications System
UNC, Universal Naming Convention
NIVAC, Universal Automatic Computer (By MKS)
UPS, Uninterruptible Power Supply
URI, Uniform Resource Identifier
URL, Uniform Resource Locator
URN, Uniform Resource Name
USB, Universal Serial Bus
usr, user
USR, U.S. Robotics
UTC, Coordinated Universal Time
UTF, Unicode Transformation Format
UTP, Unshielded Twisted Pair
UTRAN, Universal Terrestrial Radio Access Network
UCP, Unix to Unix Copy
UUID, Universally Unique Identifier
UUN, Universal User Name
UVC, Universal Virtual Computer
UWP, Universal Windows Platform
UX, User Experience
var, variable
AX, Virtual Address eXtension
VCPI, Virtual Control Program Interface
VR, Virtual Reality
RML, Virtual Reality Modeling Language
VB, Visual Basic
VBA, Visual Basic for Applications
VBS, Visual Basic Script
VDI, Virtual Desktop Infrastructure
VDM,  Virtual DOS machine
VDSL, Very High Bitrate Digital Subscriber Line
ESA, Video Electronics Standards Association
VFAT, Virtual FAT
VHD,  Virtual Hard Disk
VFS, Virtual File System
VG, Volume Group
VGA, Video Graphics Array
VHF, Very High Frequency
VLAN, Virtual Local Area Network
LSM, Variable Length Subnet Mask
VLB, Vesa Local Bus
VLF, Very Low Frequency
VLIW, Very Long Instruction Word
VLSI, Very-Large-Scale Integration
VM, Virtual Machine
VM, Virtual Memory
VMM, Virtual Machine Monitor
NC, Virtual Network Computing
VOD, Video On Demand
VoIP, Voice over Internet Protocol
VPN, Virtual Private Network
VPU, Visual Processing Unit
VSAM, Virtual Storage Access Method
VSAT, Very Small Aperture Terminal
VT, Video Terminal?
VTL,  Virtual Tape Library
VTAM, Virtual Telecommunications Access Method
VRAM, Video Random Access Memory
W3C, World Wide Web Consortium
WWDC, [Apple Inc.
WAFS, Wide Area File Services
WAI, Web Accessibility Initiative
WAIS, Wide Area Information Server
WAN, Wide Area Network
WAP, Wireless Access Point
WAP, Wireless Application Protocol
WASM, Watcom ASseMbler
WBEM, Web-Based Enterprise Management
WCAG, Web Content Accessibility Guidelines
WCF, Windows Communication Foundation
WDM, Wavelength-Division Multiplexing
ebDAV, WWW Distributed Authoring and Versioning
WEP, Wired Equivalent Privacy
WFI, Wait For Interrupt
iMAX, Worldwide Interoperability for Microwave Access
inFS, Windows Future Storage
WinRT, Windows RunTime
WINS, Windows Internet Name Service
WLAN, Wireless Local Area Network
WMA, Windows Media Audio
WMI,  Windows Management Instrumentation
WMV, Windows Media Video
WNS, Windows Push Notification Service
WOL, Wake-on-LAN
WOR, Wake-on-Ring
WORA, Write once, run anywhere
WORE, Write once, run everywhere
WPA, Wi-Fi Protected Access
WPAD, Web Proxy Autodiscovery Protocol
WPAN, Wireless Personal Area Network
WPF, Windows Presentation Foundation
WS-D, Web Services-Discovery
WSDL, Web Services Description Language
WSFL, Web Services Flow Language
WUSB, Wireless Universal Serial Bus
WWAN, Wireless Wide Area Network
WWID, World Wide Identifier
WWN, World Wide Name
WWW, World Wide Web
YSIWYG, What You See Is What You Get
WZC, Wireless Zero Configuration
XAG, XML Accessibility Guidelines
XAML, eXtensible Application Markup Language
XDM, X Window Display Manager
XDMCP, X Display Manager Control Protocol
CBL, XML Common Business Library
HTML, eXtensible Hypertext Markup Language
XILP, X Interactive ListProc
ML, eXtensible Markup Language
MMS, X Multimedia System
XMPP, eXtensible Messaging and Presence Protocol
XMS, Extended Memory Specification
XNS, Xerox Network Systems
XP, Cross-Platform
XP, Extreme Programming
PCOM, Cross Platform Component Object Model
XPI, XPInstall
XPIDL, Cross-Platform IDL
XPS,  XML Paper Specification
XSD, XML Schema Definition
XSL, eXtensible Stylesheet Language
XSL-FO, eXtensible Stylesheet Language Formatting Objects
XSLT, eXtensible Stylesheet Language Transformations
XSS, Cross-Site Scripting
XTF, eXtensible Tag Framework
XTF, eXtended Triton Format
UL, XML User Interface Language
VGA, Extended Video Graphics Adapter
Y2K, Year Two Thousand
AAF, Yet Another Application Framework
YACC, Yet Another Compiler Compiler
AML, YAML Ain't Markup Language
aST, Yet another Setup Tool
ZCAV, Zone Constant Angular Velocity
ZCS, Zero Code Suppression
ZIF, Zero Insertion Force
ZIFS, Zero Insertion Force Socket
ZIP, ZIP file archive
ZISC, Zero Instruction Set Computer
ZOI, Zero One Infinity
ZOPE, Z Object Publishing Environment
ZMA, Zone Multicast Address
ZPL, Z-level Programming Language
